"id","nombre_cuadro","especialidad","cie10","cie10_descripcion","prioridad","hallazgo_critico","estudio_tipico","tipo_estudio","hallazgos_tipicos","conclusion_tipica","medicamentos_tipicos","procedimiento_tipico","dias_reposo_tipico","tipos_documento","palabras_clave","notas"
"CC-11","Diabetes tipo 2 descompensada","Endocrinología","E11.9","Diabetes mellitus no insulinodependiente, sin mención de complicación","Prioritario","","Glucemia en ayunas, hemoglobina glicosilada y cetonas","laboratorio","Glucemia en ayunas 322 mg/dL. HbA1c 10,5 %. Cetonas en orina negativas. Creatinina 1,0 mg/dL.","Diabetes mellitus tipo 2 descompensada sin cetoacidosis. Ajuste de tratamiento y control en 72 horas.","MED-11:850 mg VO c/12h|MED-09:12 UI SC nocturna","","","Informe de Laboratorio;Receta Medica;Epicrisis","poliuria; polidipsia; pérdida de peso; abandono del tratamiento","La insulina es de alto riesgo: la receta va a Farmacia con auditoría. En la epicrisis no aplica, porque el alto riesgo solo se marca en recetas."
"CC-12","Fractura de radio distal","Traumatología","S52.5","Fractura de la epífisis inferior del radio","Prioritario","","Radiografía de muñeca frente y perfil","imagenes","Fractura de la epífisis distal del radio con angulación dorsal de 10 grados. Sin compromiso articular ni desplazamiento significativo.","Fractura de Colles no complicada. Inmovilización con yeso y control radiológico en 7 días.","MED-08:400 mg VO c/8h por 5 días","Reducción e inmovilización con yeso","14","Informe de Estudio por Imagenes;Receta Medica;Certificado Medico;Orden de Solicitud de Procedimiento","caída con la mano extendida; dolor y deformidad en muñeca",""
"CC-13","Hipertensión arterial en control","Cardiología / Medicina general","I10","Hipertensión esencial (primaria)","Rutina","","Laboratorio de control: creatinina, ionograma y perfil lipídico","laboratorio","Presión arterial 138/86 mmHg. Creatinina 0,9 mg/dL. Potasio 4,2 mmol/L. Perfil lipídico dentro de objetivos.","Hipertensión arterial esencial en control adecuado. Continuar el tratamiento actual.","MED-10:50 mg VO c/24h|MED-02:5 mg VO c/24h","","","Receta Medica;Informe de Laboratorio;Certificado Medico","asintomático; control trimestral; 61 años","Certificado de aptitud física como variante de certificado."
"CC-14","Infección urinaria baja no complicada","Medicina general / Urología","N30.0","Cistitis aguda","Rutina","","Sedimento urinario y urocultivo","laboratorio","Leucocitos abundantes por campo. Nitritos positivos. Urocultivo: Escherichia coli mayor a 100.000 UFC/mL, sensible a nitrofurantoína.","Infección urinaria baja no complicada.","MED-13:100 mg VO c/6h por 5 días","","","Informe de Laboratorio;Receta Medica","disuria; polaquiuria; sin fiebre; sin dolor lumbar",""
"CC-15","Lumbalgia mecánica aguda","Traumatología / Medicina general","M54.5","Lumbago no especificado","Rutina","","Radiografía de columna lumbosacra","imagenes","Rectificación de la lordosis lumbar. Sin lesiones óseas, listesis ni signos de fractura.","Lumbalgia mecánica aguda sin signos de alarma.","MED-08:400 mg VO c/8h por 5 días","","3","Informe de Estudio por Imagenes;Receta Medica;Certificado Medico","dolor lumbar tras esfuerzo; sin irradiación; sin déficit neurológico","Certificado de 3 días de reposo laboral."
"CC-16","Hipotiroidismo primario","Endocrinología","E03.9","Hipotiroidismo, no especificado","Rutina","","Perfil tiroideo","laboratorio","TSH 9,8 mUI/L (referencia 0,4 a 4,0). T4 libre 0,7 ng/dL (referencia 0,8 a 1,8).","Hipotiroidismo primario. Iniciar sustitución hormonal y control en 8 semanas.","","","","Informe de Laboratorio;Receta Medica","cansancio; intolerancia al frío; aumento de peso",""
"CC-17","Control prenatal de embarazo normal","Obstetricia","Z34.9","Supervisión de embarazo normal no especificado","Rutina","","Ecografía obstétrica morfológica de 20 semanas","imagenes","Feto único vivo. Biometría acorde a 20 semanas. Placenta anterior normoinserta. Líquido amniótico en cantidad normal. Anatomía fetal sin alteraciones.","Embarazo de 20 semanas de curso normal.","","","1","Informe de Estudio por Imagenes;Receta Medica;Certificado Medico","primigesta; sin antecedentes; 27 años","Certificado de asistencia a control prenatal."
"CC-18","Faringoamigdalitis aguda","Medicina general / Otorrinolaringología","J03.9","Amigdalitis aguda, no especificada","Rutina","","Examen clínico","clinico","Amígdalas hipertróficas con exudado blanquecino. Adenopatías cervicales dolorosas. Temperatura 38,5 grados.","Faringoamigdalitis aguda de probable etiología bacteriana.","MED-03:500 mg VO c/8h por 10 días","","2","Receta Medica;Certificado Medico","odinofagia; fiebre; 24 horas de evolución","No tiene informe de estudio: solo receta y certificado."
"CC-19","Reflujo gastroesofágico con esofagitis leve","Gastroenterología","K21.0","Enfermedad del reflujo gastroesofágico con esofagitis","Rutina","","Endoscopia digestiva alta","imagenes","Esofagitis erosiva grado A de Los Ángeles. Hernia hiatal de 2 cm. Gastritis eritematosa antral. Test de ureasa negativo.","Enfermedad por reflujo gastroesofágico con esofagitis leve.","MED-14:20 mg VO c/24h por 8 semanas","Endoscopia digestiva alta","","Informe de Estudio por Imagenes;Receta Medica;Orden de Solicitud de Procedimiento","pirosis; regurgitación; 6 meses de evolución","La endoscopia se trata como informe de estudio."
"CC-20","Dislipidemia mixta","Cardiología / Medicina general","E78.5","Hiperlipidemia no especificada","Rutina","","Perfil lipídico","laboratorio","Colesterol total 262 mg/dL. LDL 168 mg/dL. HDL 41 mg/dL. Triglicéridos 210 mg/dL.","Dislipidemia mixta. Iniciar estatina y medidas higiénico-dietéticas. Control en 3 meses.","MED-05:20 mg VO c/24h","","","Informe de Laboratorio;Receta Medica","control de rutina; antecedentes familiares de enfermedad coronaria; 54 años",""
"CC-21","Artritis reumatoide","Reumatología","M06.9","Artritis reumatoide, no especificada","Rutina","","Factor reumatoide, anti-CCP y reactantes de fase aguda","laboratorio","Factor reumatoide positivo 84 UI/mL. Anticuerpos anti-CCP positivos. VSG 42 mm/h. PCR 18 mg/L.","Artritis reumatoide seropositiva activa. Inicio de tratamiento de fondo con metotrexato semanal.","MED-12:15 mg VO una vez por semana|MED-01:5 mg VO semanal, al día siguiente del metotrexato","","","Receta Medica;Informe de Laboratorio","rigidez matinal; dolor e inflamación de pequeñas articulaciones de las manos; 45 años","Metotrexato es de alto riesgo y su error clásico es indicarlo diario en vez de semanal: sirve para el caso bien prescrito y para el AMB-3."
"CC-22","Neumonía adquirida en la comunidad","Neumonología / Medicina interna","J18.9","Neumonía, no especificada","Prioritario","","Radiografía de tórax","imagenes","Consolidación alveolar en el lóbulo inferior derecho con broncograma aéreo. Sin derrame pleural.","Neumonía adquirida en la comunidad del lóbulo inferior derecho.","MED-06:1 g IV cada 24 horas durante la internación|MED-04:875 mg VO cada 12 horas por 7 días al alta","","7","Epicrisis;Informe de Estudio por Imagenes;Receta Medica;Certificado Medico","fiebre; tos productiva; internación de 4 días; evolución favorable","Cuadro de internación sin hallazgo crítico: permite epicrisis de rutina."
