"id","nombre","sinonimos","atc","dci_en","atc_alternativo","clase","via","dosis_min_toma","dosis_max_toma","unidad","frecuencia_tipica","dosis_max_dia","validar_dosis","nota_dosis","periodicidad_especial","alto_riesgo","indicacion_tipica","notas","motivo","fuente_verificacion","buscar_en_vnm","producto_consultado","fecha_consulta","estado_verificacion"
"MED-11","metformina","clorhidrato de metformina; metformina HCl","A10BA02","metformin","","antidiabético oral","VO","500","1000","mg","c/8-12h","3000","si","ANMAT: hasta 3000 mg/día en tres tomas","","no","diabetes tipo 2","","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","metformina","GLUCOPHAGE 500/850/1000 comprimidos recubiertos","2026-09-25","verificado"
"MED-12","metotrexato","metotrexate; methotrexate; MTX","L04AX03","methotrexate","L01BA01","inmunosupresor","VO/SC","7,5","30","mg","semanal","30","si","ANMAT: 7,5 a 20 mg/semana en artritis reumatoide y 10 a 25 en psoriasis, hasta 30. En oncología se dosifica por mg/m² según protocolo (ATC L01BA01)","semanal","si","artritis reumatoide, psoriasis","el error clásico es indicarlo diario en vez de semanal","Conjunto de prueba y alto riesgo","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","metotrexato","ARTRAIT comprimidos 2,5/7,5/10/15 mg e inyectable 15/20 mg","2026-09-25","verificado"
"MED-13","nitrofurantoína","nitrofurantoina; nitrofurantoína macrocristales","J01XE01","nitrofurantoin","","antibiótico urinario","VO","50","100","mg","c/6h","400","si","ANMAT: 100 mg cuatro veces al día","","no","cistitis","5 a 7 días","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","nitrofurantoína","FURADANTINA MC cápsulas 100 mg","2026-09-25","verificado"
"MED-14","omeprazol","omeprazol sódico","A02BC01","omeprazole","","inhibidor de bomba de protones","VO/IV","20","40","mg","c/24h","80","si","Coincide con el prospecto consultado","","no","reflujo, úlcera péptica","hemorragia digestiva: bolo de 80 mg IV y luego infusión","Conjunto de prueba","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","omeprazol","AZIATOP cápsulas 20 mg","2026-09-25","verificado"
"MED-15","acenocumarol","acenocumarina","B01AA07","acenocoumarol","","anticoagulante oral antagonista de la vitamina K","VO","1","8","mg","c/24h","8","si","El prospecto no da cifras: la dosis la fija el médico según el coagulograma. Se conserva un rango de cordura para frenar disparates","","si","fibrilación auricular, tromboembolismo venoso","ajustar por INR; dosis diaria habitual entre 1 y 4 mg. Es el anticoagulante oral más usado en varios países de Latinoamérica","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","acenocumarol","SINTROM 4 mg comprimidos","2026-09-25","verificado"
"MED-16","alteplasa","rt-PA; activador tisular del plasminógeno","B01AD02","alteplase","","trombolítico","IV","0,9","0,9","mg/kg","dosis única","90","no","0,9 mg/kg hasta 90 mg en ACV isquémico; en infarto y embolia, bolo más infusión por protocolo","","si","ACV isquémico en ventana terapéutica","máximo 90 mg; 10 % en bolo y el resto en 60 minutos","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","alteplasa","ACTILYSE polvo liofilizado 50 mg","2026-09-25","por_protocolo"
"MED-17","cloruro de potasio","KCl; cloruro potásico","A12BA01","potassium chloride","B05XA01","electrolito","VO/IV","20","40","mEq","c/8-12h","120","no","Por vía oral se indica el total diario; por vía intravenosa se dosifica por peso y por velocidad de infusión (ATC B05XA01)","","si","hipopotasemia","por vía IV siempre diluido; concentrado es alto riesgo","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","cloruro de potasio","CONTROL-K cápsulas 600 mg KCl, 8 mEq","2026-09-25","por_protocolo"
"MED-18","fentanilo","fentanil; citrato de fentanilo","N02AB03","fentanyl","N01AH01 (anestesia)","opioide","IV/transdérmica","25","100","mcg","según necesidad","","no","Dosis fijas de 25 a 100 mcg, y en anestesia general por peso según protocolo","","si","dolor severo, anestesia","parche de 12 a 100 mcg/h cada 72 horas","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","fentanilo","FENTANILO GRAY solución inyectable 0,05 mg/ml","2026-09-25","por_protocolo"
"MED-19","heparina sódica","heparina no fraccionada; HNF; heparina cálcica","B01AB01","heparin","","anticoagulante","IV","5000","5000","UI","bolo y luego infusión","","no","Carga de 35 a 70 UI/kg o 5000 UI intravenosas, y luego infusión ajustada por coagulograma","","si","síndrome coronario agudo, tromboembolismo","bolo 60 a 80 UI/kg; infusión 12 a 18 UI/kg/h","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","heparina sódica","HEPARINA VEINFAR 5000 UI/ml frasco ampolla 10 ml","2026-09-25","por_protocolo"
"MED-20","morfina","sulfato de morfina; clorhidrato de morfina","N02AA01","morphine","","opioide","IV/SC/VO","2","30","mg","c/4h","","no","Individualizada: 5 a 20 mg por 70 kg subcutánea o intramuscular, 2 a 10 mg intravenosa","","si","dolor severo","IV 2 a 10 mg; VO 10 a 30 mg; sin techo fijo, se titula","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","morfina","NEOCALMANS solución inyectable 10 mg/ml","2026-09-25","por_protocolo"
"MED-21","tramadol","clorhidrato de tramadol","N02AX02","tramadol","","opioide débil","VO/IV","50","100","mg","c/4-6h","400","si","ANMAT: cada 4 a 6 horas, no cada 6 a 8. Máximo 400 mg/día u 8 mg/kg","","si","dolor moderado","","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","tramadol","TRAMAL cápsulas 50 mg","2026-09-25","verificado"
"MED-22","warfarina","warfarina sódica; warfarin","B01AA03","warfarin","","anticoagulante oral","VO","1","10","mg","c/24h","10","si","ANMAT: inicio 5 mg/día y mantenimiento 2 a 10 mg, ajustado por RIN. Advierte que dosis altas, por ejemplo 30 mg, aumentan el riesgo hemorrágico","","si","fibrilación auricular, tromboembolismo","ajustar por INR","Alto riesgo: validación de dosis","ANMAT, Vademécum Nacional de Medicamentos. Clave regional: ATC + DCI de la OMS, válida en toda Latinoamérica; el producto consultado es solo la prueba del dato","warfarina","CIRCUVIT comprimidos 2 y 5 mg","2026-09-25","verificado"
